Title,Description,Links,"Publication Date"
"Алла Пугачева прилетела в Москву","Певица Алла Пугачева прилетела в Москву, сообщила ТАСС ее помощница Елена Чупракова. Певица уехала из России после начала спецоперации и проживает в Израиле.",https://www.kommersant.ru/doc/5967441,"Wed, 03 May 2023 15:56:02 +0300"
"Пресс-секретарь Зеленского: у нас нет информации об атаках на Кремль","Пресс-секретарь президента Украины Сергей Никифоров прокомментировал атаку беспилотников на кремлевскую резиденцию президента России Владимира Путина. По его словам, у Украины данных об атаках нет.",https://www.kommersant.ru/doc/5967447,"Wed, 03 May 2023 15:49:23 +0300"
"Пригожин считает, что контрнаступление ВСУ началось","Глава ЧВК «Вагнер» Евгений Пригожин сообщил, что видит активизацию вооруженных сил Украины на фронте. По его оценкам, это свидетельствует о начале анонсированного ранее контрнаступления.",https://www.kommersant.ru/doc/5967445,"Wed, 03 May 2023 15:47:28 +0300"
"Песков: переносить парад Победы из-за атаки беспилотников на Кремль не будут","Парад на Красной площади в честь Дня Победы, как и планировалось, состоится 9 мая. Президент России Владимир Путин примет в нем участие, сообщил пресс-секретарь главы государства Дмитрий Песков.",https://www.kommersant.ru/doc/5967430,"Wed, 03 May 2023 15:28:37 +0300"
"Dyson объявила о значительном расширении производства","Компания Dyson объявила о предстоящем строительстве производственных мощностей и технологических хабов в Сингапуре, на Филиппинах и в Великобритании. Это масштабное расширение производства реализуется в соответствии с ранее объявленным пятилетним планом глобальных инвестиций на $3,4 млрд.",https://www.kommersant.ru/doc/5967408,"Wed, 03 May 2023 15:26:55 +0300"
"Зеленский прилетит в Германию на вручение премии имени Карла Великого","Президент Украины Владимир Зеленский посетит Германию с двухдневным визитом, сообщает немецкий телеканалN-TV со ссылкой на данные берлинской полиции и собственные источники. 13 мая глава Украины прибудет в Берлин, а на следующий день отправится в Ахен на вручение премии имени Карла Великого.",https://www.kommersant.ru/doc/5967424,"Wed, 03 May 2023 15:18:08 +0300"
"Avito отрицает использование сервиса подозреваемыми в покушении на Аксенова","Сервис по размещению объявлений Avito не подтвердил информацию о том, что завербованные украинской разведкой крымчане передавали друг другу оборудование для слежки за представителями власти через Avito. Об использовании сервиса заявил на допросе один из задержанных ФСБ, Сергей Кривошеин.",https://www.kommersant.ru/doc/5967416,"Wed, 03 May 2023 15:14:35 +0300"
"Путин не пострадал в результате атаки украинских беспилотников на кремлевскую резиденцию","Президента России Владимира Путина не было в Кремле в момент попытки Украины атаковать его резиденцию беспилотниками, поэтому он не пострадал. Пресс-секретарь российского президента Дмитрий Песков заявил, что сегодня, 3 мая, господин Путин работает в Ново-Огарево.",https://www.kommersant.ru/doc/5967427,"Wed, 03 May 2023 15:11:04 +0300"
"Кремль: украинские беспилотники ночью атаковали кремлевскую резиденцию Путина // Владимир Путин в этот момент был в Ново-Огарево, сообщил Песков","Пресс-служба президента России сообщила, что в ночь на сегодня, 3 мая, Украина пыталась нанести удар по Кремлю двумя беспилотниками. Власти заявили, что Россия оставляет за собой право принять ответные меры «там и тогда, где и когда посчитает нужным».",https://www.kommersant.ru/doc/5967398,"Wed, 03 May 2023 14:36:04 +0300"
"Словакия смягчила запрет на импорт ряда сельхозтоваров с Украины","Правительство Словакии решило смягчить запрет на импорт отдельных сельскохозяйственных товаров с Украины, чтобы привести его в соответствие с требованиями Еврокомиссии (ЕК), сообщила газета Dennik N. Ограничения на поставку пшеницы, кукурузы, рапса и семян подсолнечника из Украины сохраняются.",https://www.kommersant.ru/doc/5967384,"Wed, 03 May 2023 14:35:36 +0300"
"Хоккейный клуб «Амур» возглавил Андрей Мартемьянов","Андрей Мартемьянов занял пост главного тренера хабаровского клуба «Амур», выступающего в Континентальной хоккейной лиге (КХЛ). Об этом сообщил губернатор края Михаил Дегтярев.",https://www.kommersant.ru/doc/5967391,"Wed, 03 May 2023 14:33:13 +0300"
"Собянин запретил запускать беспилотники в Москве","Мэр Москвы Сергей Собянин заявил, что с сегодняшнего дня, 3 мая, в городе введен запрет на запуск беспилотных летательных аппаратов. Исключение составят БПЛА, используемые по решениям органов государственной власти.",https://www.kommersant.ru/doc/5967390,"Wed, 03 May 2023 14:28:51 +0300"
"Новая Зеландия ввела санкции против 9 россиян и 18 российских компаний","Власти Новой Зеландии ввели новые санкции против 18 российских предприятий и 9 граждан РФ, сообщило правительство страны на официальном сайте. Меры коснулись ряда руководителей ФСБ, СВР и граждан, участвующих в создании и закупках оружия и военных технологий.",https://www.kommersant.ru/doc/5967374,"Wed, 03 May 2023 14:24:20 +0300"
"Путин одобрил решение нижегородского губернатора Никитина выдвинуться на новый срок","Президент России Владимир Путин провел рабочую встречу с губернатором Нижегородской области Глебом Никитиным, сообщила пресс-служба Кремля. Они обсудили социально-экономическое развитие региона.",https://www.kommersant.ru/doc/5967386,"Wed, 03 May 2023 14:22:48 +0300"
"В Госдуму внесен законопроект о первоочередном зачислении в школы детей погибших участников СВО и добровольцев","В Госдуму внесен законопроект, дающий детям добровольцев и погибших в ходе военной операции бойцов право на первоочередное зачисление в школы, детсады и летние оздоровительные лагеря. Мера поддержки затронет и усыновленных детей.",https://www.kommersant.ru/doc/5967381,"Wed, 03 May 2023 14:22:40 +0300"
"Минэкономики и Минфин изучают создание стимулов для выхода бизнеса СКФО из тени","Глава Минэкономики Максим Решетников провел совещание правительственной комиссии по развитию Северо-Кавказского федерального округа (СКФО). Он заявил, что ведомство совместно с Минфином обсуждает введение дополнительных стимулов, в том числе налоговых, для выхода бизнеса в СКФО из тени.",https://www.kommersant.ru/doc/5967375,"Wed, 03 May 2023 14:09:54 +0300"
"Чистая прибыль «Татнефти» по РСБУ сократилась более чем на 50% в начале 2023 года","По итогам первого квартала 2023 года чистая прибыль нефтяной компании «Татнефть» по РСБУ составила 50,123 млрд руб. Относительно аналогичного периода 2022 года она сократилась в 2,4 раза, следует из отчета о финансовых результатах компании.",https://www.kommersant.ru/doc/5967359,"Wed, 03 May 2023 14:01:06 +0300"
"В Токио на митинг против расширения военных расходов вышли 25 тыс. человек","В Токио прошел митинг против наращивания военных расходов, а также в защиту статьи конституции Японии, предполагающей отказ страны от войны как средства разрешения международных конфликтов и от собственной армии. По данным организаторов, на акцию пришло 25 тыс. человек, сообщает «РИА Новости».",https://www.kommersant.ru/doc/5967336,"Wed, 03 May 2023 13:45:59 +0300"
